Date,Region,Cases,Recoveries,Deaths,Deaths per day,Cases per day ,Recoveries per day
01/07/2020,Erongo,247,7,0,0,247,7
01/07/2020,Hardap,6,1,0,0,6,1
01/07/2020,Kharas,7,2,0,0,7,2
01/07/2020,Kavango East,0,0,0,0,0,0
01/07/2020,Kavango West,0,0,0,0,0,0
01/07/2020,Khomas,25,14,0,0,25,14
01/07/2020,Kunene,0,0,0,0,0,0
01/07/2020,Ohangwena,1,0,0,0,1,0
01/07/2020,Omaheke,0,0,0,0,0,0
01/07/2020,Omusati,0,0,0,0,0,0
01/07/2020,Oshana,2,0,0,0,2,0
01/07/2020,Oshikoto,0,0,0,0,0,0
01/07/2020,Otjozondupa,3,0,0,0,3,0
01/07/2020,Zambezi,2,0,0,0,2,0
02/07/2020,Erongo,288,8,0,0,41,1
02/07/2020,Hardap,6,1,0,0,0,0
02/07/2020,Kharas,7,2,0,0,0,0
02/07/2020,Kavango East,0,0,0,0,0,0
02/07/2020,Kavango West,0,0,0,0,0,0
02/07/2020,Khomas,26,14,0,0,1,0
02/07/2020,Kunene,0,0,0,0,0,0
02/07/2020,Ohangwena,1,0,0,0,0,0
02/07/2020,Omaheke,0,0,0,0,0,0
02/07/2020,Omusati,0,0,0,0,0,0
02/07/2020,Oshana,2,0,0,0,0,0
02/07/2020,Oshikoto,0,0,0,0,0,0
02/07/2020,Otjozondupa,3,0,0,0,0,0
02/07/2020,Zambezi,2,0,0,0,0,0
03/07/2020,Erongo,327,8,0,0,39,0
03/07/2020,Hardap,6,1,0,0,0,0
03/07/2020,Kharas,7,2,0,0,0,0
03/07/2020,Kavango East,0,0,0,0,0,0
03/07/2020,Kavango West,0,0,0,0,0,0
03/07/2020,Khomas,27,14,0,0,1,0
03/07/2020,Kunene,0,0,0,0,0,0
03/07/2020,Ohangwena,1,0,0,0,0,0
03/07/2020,Omaheke,0,0,0,0,0,0
03/07/2020,Omusati,0,0,0,0,0,0
03/07/2020,Oshana,2,0,0,0,0,0
03/07/2020,Oshikoto,0,0,0,0,0,0
03/07/2020,Otjozondupa,3,0,0,0,0,0
03/07/2020,Zambezi,2,0,0,0,0,0
04/07/2020,Erongo,363,8,0,0,36,0
04/07/2020,Hardap,6,1,0,0,0,0
04/07/2020,Kharas,7,2,0,0,0,0
04/07/2020,Kavango East,0,0,0,0,0,0
04/07/2020,Kavango West,0,0,0,0,0,0
04/07/2020,Khomas,27,14,0,0,0,0
04/07/2020,Kunene,0,0,0,0,0,0
04/07/2020,Ohangwena,2,0,0,0,1,0
04/07/2020,Omaheke,0,0,0,0,0,0
04/07/2020,Omusati,0,0,0,0,0,0
04/07/2020,Oshana,2,0,0,0,0,0
04/07/2020,Oshikoto,0,0,0,0,0,0
04/07/2020,Otjozondupa,3,0,0,0,0,0
04/07/2020,Zambezi,2,0,0,0,0,0
05/07/2020,Erongo,435,8,0,0,72,0
05/07/2020,Hardap,6,1,0,0,0,0
05/07/2020,Kharas,7,2,0,0,0,0
05/07/2020,Kavango East,0,0,0,0,0,0
05/07/2020,Kavango West,0,0,0,0,0,0
05/07/2020,Khomas,28,14,0,0,1,0
05/07/2020,Kunene,0,0,0,0,0,0
05/07/2020,Ohangwena,2,0,0,0,0,0
05/07/2020,Omaheke,0,0,0,0,0,0
05/07/2020,Omusati,0,0,0,0,0,0
05/07/2020,Oshana,2,0,0,0,0,0
05/07/2020,Oshikoto,0,0,0,0,0,0
05/07/2020,Otjozondupa,3,0,0,0,0,0
05/07/2020,Zambezi,2,0,0,0,0,0
06/07/2020,Erongo,488,8,0,0,53,0
06/07/2020,Hardap,6,1,0,0,0,0
06/07/2020,Kharas,7,2,0,0,0,0
06/07/2020,Kavango East,0,0,0,0,0,0
06/07/2020,Kavango West,0,0,0,0,0,0
06/07/2020,Khomas,29,14,0,0,1,0
06/07/2020,Kunene,0,0,0,0,0,0
06/07/2020,Ohangwena,2,0,0,0,0,0
06/07/2020,Omaheke,0,0,0,0,0,0
06/07/2020,Omusati,0,0,0,0,0,0
06/07/2020,Oshana,2,0,0,0,0,0
06/07/2020,Oshikoto,0,0,0,0,0,0
06/07/2020,Otjozondupa,3,0,0,0,0,0
06/07/2020,Zambezi,2,0,0,0,0,0
07/07/2020,Erongo,541,8,0,0,53,0
07/07/2020,Hardap,6,1,0,0,0,0
07/07/2020,Kharas,7,2,0,0,0,0
07/07/2020,Kavango East,0,0,0,0,0,0
07/07/2020,Kavango West,0,0,0,0,0,0
07/07/2020,Khomas,30,14,0,0,1,0
07/07/2020,Kunene,0,0,0,0,0,0
07/07/2020,Ohangwena,2,0,0,0,0,0
07/07/2020,Omaheke,0,0,0,0,0,0
07/07/2020,Omusati,0,0,0,0,0,0
07/07/2020,Oshana,2,0,0,0,0,0
07/07/2020,Oshikoto,0,0,0,0,0,0
07/07/2020,Otjozondupa,3,0,0,0,0,0
07/07/2020,Zambezi,2,0,0,0,0,0
08/07/2020,Erongo,561,8,0,0,20,0
08/07/2020,Hardap,6,1,0,0,0,0
08/07/2020,Kharas,8,2,0,0,1,0
08/07/2020,Kavango East,0,0,0,0,0,0
08/07/2020,Kavango West,0,0,0,0,0,0
08/07/2020,Khomas,30,14,0,0,0,0
08/07/2020,Kunene,0,0,0,0,0,0
08/07/2020,Ohangwena,2,0,0,0,0,0
08/07/2020,Omaheke,0,0,0,0,0,0
08/07/2020,Omusati,0,0,0,0,0,0
08/07/2020,Oshana,3,0,0,0,1,0
08/07/2020,Oshikoto,0,0,0,0,0,0
08/07/2020,Otjozondupa,3,0,0,0,0,0
08/07/2020,Zambezi,2,0,0,0,0,0
09/07/2020,Erongo,610,8,1,1,49,0
09/07/2020,Hardap,6,1,0,0,0,0
09/07/2020,Kharas,8,2,0,0,0,0
09/07/2020,Kavango East,0,0,0,0,0,0
09/07/2020,Kavango West,0,0,0,0,0,0
09/07/2020,Khomas,31,14,0,0,1,0
09/07/2020,Kunene,0,0,0,0,0,0
09/07/2020,Ohangwena,2,0,0,0,0,0
09/07/2020,Omaheke,0,0,0,0,0,0
09/07/2020,Omusati,0,0,0,0,0,0
09/07/2020,Oshana,4,0,0,0,1,0
09/07/2020,Oshikoto,0,0,0,0,0,0
09/07/2020,Otjozondupa,5,0,0,0,2,0
09/07/2020,Zambezi,2,0,0,0,0,0
10/07/2020,Erongo,654,8,1,0,44,0
10/07/2020,Hardap,6,1,0,0,0,0
10/07/2020,Kharas,9,2,0,0,1,0
10/07/2020,Kavango East,0,0,0,0,0,0
10/07/2020,Kavango West,0,0,0,0,0,0
10/07/2020,Khomas,31,14,0,0,0,0
10/07/2020,Kunene,0,0,0,0,0,0
10/07/2020,Ohangwena,2,0,0,0,0,0
10/07/2020,Omaheke,0,0,0,0,0,0
10/07/2020,Omusati,0,0,0,0,0,0
10/07/2020,Oshana,4,0,0,0,0,0
10/07/2020,Oshikoto,0,0,0,0,0,0
10/07/2020,Otjozondupa,5,0,0,0,0,0
10/07/2020,Zambezi,2,0,0,0,0,0
11/07/2020,Erongo,723,8,1,0,69,0
11/07/2020,Hardap,6,1,0,0,0,0
11/07/2020,Kharas,10,3,0,0,1,1
11/07/2020,Kavango East,0,0,0,0,0,0
11/07/2020,Kavango West,0,0,0,0,0,0
11/07/2020,Khomas,31,14,0,0,0,0
11/07/2020,Kunene,0,0,0,0,0,0
11/07/2020,Ohangwena,3,0,0,0,1,0
11/07/2020,Omaheke,0,0,0,0,0,0
11/07/2020,Omusati,0,0,0,0,0,0
11/07/2020,Oshana,5,0,0,0,1,0
11/07/2020,Oshikoto,0,0,0,0,0,0
11/07/2020,Otjozondupa,5,0,0,0,0,0
11/07/2020,Zambezi,2,0,0,0,0,0
12/07/2020,Erongo,796,10,1,0,73,2
12/07/2020,Hardap,6,1,0,0,0,0
12/07/2020,Kharas,11,3,0,0,1,0
12/07/2020,Kavango East,0,0,0,0,0,0
12/07/2020,Kavango West,0,0,0,0,0,0
12/07/2020,Khomas,33,14,0,0,2,0
12/07/2020,Kunene,0,0,0,0,0,0
12/07/2020,Ohangwena,3,0,0,0,0,0
12/07/2020,Omaheke,0,0,0,0,0,0
12/07/2020,Omusati,0,0,0,0,0,0
12/07/2020,Oshana,5,0,0,0,0,0
12/07/2020,Oshikoto,0,0,0,0,0,0
12/07/2020,Otjozondupa,5,0,0,0,0,0
12/07/2020,Zambezi,2,0,0,0,0,0
13/07/2020,Erongo,796,10,1,0,0,0
13/07/2020,Hardap,6,1,0,0,0,0
13/07/2020,Kharas,11,3,0,0,0,0
13/07/2020,Kavango East,0,0,0,0,0,0
13/07/2020,Kavango West,0,0,0,0,0,0
13/07/2020,Khomas,33,14,0,0,0,0
13/07/2020,Kunene,0,0,0,0,0,0
13/07/2020,Ohangwena,3,0,0,0,0,0
13/07/2020,Omaheke,0,0,0,0,0,0
13/07/2020,Omusati,0,0,0,0,0,0
13/07/2020,Oshana,5,0,0,0,0,0
13/07/2020,Oshikoto,0,0,0,0,0,0
13/07/2020,Otjozondupa,5,0,0,0,0,0
13/07/2020,Zambezi,2,0,0,0,0,0
14/07/2020,Erongo,890,11,2,1,94,1
14/07/2020,Hardap,6,1,0,0,0,0
14/07/2020,Kharas,15,3,0,0,4,0
14/07/2020,Kavango East,0,0,0,0,0,0
14/07/2020,Kavango West,0,0,0,0,0,0
14/07/2020,Khomas,34,16,0,0,1,2
14/07/2020,Kunene,0,0,0,0,0,0
14/07/2020,Ohangwena,3,0,0,0,0,0
14/07/2020,Omaheke,0,0,0,0,0,0
14/07/2020,Omusati,0,0,0,0,0,0
14/07/2020,Oshana,5,0,0,0,0,0
14/07/2020,Oshikoto,0,0,0,0,0,0
14/07/2020,Otjozondupa,5,0,0,0,0,0
14/07/2020,Zambezi,2,0,0,0,0,0
15/07/2020,Erongo,960,11,2,0,70,0
15/07/2020,Hardap,6,1,0,0,0,0
15/07/2020,Kharas,15,3,0,0,0,0
15/07/2020,Kavango East,0,0,0,0,0,0
15/07/2020,Kavango West,0,0,0,0,0,0
15/07/2020,Khomas,35,16,0,0,1,0
15/07/2020,Kunene,0,0,0,0,0,0
15/07/2020,Ohangwena,3,0,0,0,0,0
15/07/2020,Omaheke,0,0,0,0,0,0
15/07/2020,Omusati,0,0,0,0,0,0
15/07/2020,Oshana,5,0,0,0,0,0
15/07/2020,Oshikoto,0,0,0,0,0,0
15/07/2020,Otjozondupa,5,0,0,0,0,0
15/07/2020,Zambezi,3,0,0,0,1,0
16/07/2020,Erongo,1002,12,2,0,42,1
16/07/2020,Hardap,6,1,0,0,0,0
16/07/2020,Kharas,16,3,0,0,1,0
16/07/2020,Kavango East,0,0,0,0,0,0
16/07/2020,Kavango West,0,0,0,0,0,0
16/07/2020,Khomas,38,16,0,0,3,0
16/07/2020,Kunene,0,0,0,0,0,0
