01/07/2021,Age,Infections%,Total
01/07/2021,0_5,2,1978
01/07/2021,5_19,17,15823
01/07/2021,20_49,61,57395
01/07/2021,60_+,6,7866
02/07/2021,0_5,2,2011
02/07/2021,5_19,17,16069
02/07/2021,20_49,61,58390
02/07/2021,60_+,8,8049
03/07/2021,0_5,2,2032
03/07/2021,5_19,17,16305
03/07/2021,20_49,61,59193
03/07/2021,60_+,8,8227
04/07/2021,0_5,2,2067
04/07/2021,5_19,17,16532
04/07/2021,20_49,61,60020
04/07/2021,60_+,9,8404
05/07/2021,0_5,2,2083
05/07/2021,5_19,17,16741
05/07/2021,20_49,61,60780
05/07/2021,60_+,9,845
06/07/2021,0_5,2,2111
06/07/2021,5_19,17,16891
06/07/2021,20_49,61,61506
06/07/2021,60_+,9,8678
07/07/2021,0_5,2,2132
07/07/2021,5_19,17,17107
07/07/2021,20_49,61,62335
07/07/2021,60_+,9,8834
08/07/2021,0_5,2,2170
08/07/2021,5_19,17,17315
08/07/2021,20_49,61,63373
08/07/2021,60_+,9,9039
09/07/2021,0_5,2,2213
09/07/2021,5_19,17,17473
09/07/2021,20_49,61,64251
09/07/2021,60_+,9,9259
10/07/2021,0_5,2,2330
10/07/2021,5_19,16,18033
10/07/2021,20_49,61,67721
10/07/2021,60_+,9,10139
11/07/2021,0_5,2,2261
11/07/2021,5_19,16,17724
11/07/2021,20_49,61,65791
11/07/2021,60_+,9,9561
12/07/2021,0_5,2,2279
12/07/2021,5_19,16,17811
12/07/2021,20_49,61,66200
12/07/2021,60_+,9,6977
13/07/2021,0_5,2,2291
13/07/2021,5_19,16,17845
13/07/2021,20_49,61,66531
13/07/2021,60_+,9,9799
14/07/2021,0_5,2,2309
14/07/2021,5_19,16,17724
14/07/2021,20_49,61,67113
14/07/2021,60_+,9,9974
15/07/2021,0_5,2,2330
15/07/2021,5_19,16,18033
15/07/2021,20_49,61,67721
15/07/2021,60_+,9,10139
16/07/2021,0_5,2,2341
16/07/2021,5_19,16,18127
16/07/2021,20_49,61,68102
16/07/2021,60_+,9,10252
17/07/2021,0_5,2,2358
17/07/2021,5_19,16,18191
17/07/2021,20_49,61,68449
17/07/2021,60_+,9,10355
18/07/2021,0_5,2,2372
18/07/2021,5_19,16,18239
18/07/2021,20_49,61,68836
